ID,commune_ID,localite,localite_ID,source
131,10201,boukoki 2 i,bureau_10201042,voting_lists
132,10201,boukoki 2 j,bureau_10201043,voting_lists
133,10201,cite akokan a,bureau_10201044,voting_lists
134,10201,cite akokan b,bureau_10201045,voting_lists
135,10201,cite akokan c,bureau_10201046,voting_lists
136,10201,cite akokan d,bureau_10201047,voting_lists
137,10201,cite akokan e,bureau_10201048,voting_lists
138,10201,cite cominak a,bureau_10201049,voting_lists
139,10201,cite cominak b,bureau_10201050,voting_lists
140,10201,akokan carere a 1,bureau_10201051,voting_lists
141,10201,akokan carre a 2,bureau_10201052,voting_lists
142,10201,akokan carre b 1,bureau_10201053,voting_lists
143,10201,akokan carre b2,bureau_10201054,voting_lists
144,10201,akokan carre c1,bureau_10201055,voting_lists
145,10201,akokan carre c2,bureau_10201056,voting_lists
146,10201,akokan carre c3,bureau_10201057,voting_lists
147,10201,tchetcheni a,bureau_10201058,voting_lists
148,10201,tchetcheni b,bureau_10201059,voting_lists
149,10201,tchetcheni c,bureau_10201060,voting_lists
150,10201,boukoki est akokan,bureau_10201061,voting_lists
151,10201,boukoki nord akokan a,bureau_10201062,voting_lists
152,10201,boukoki nord akokan b,bureau_10201063,voting_lists
153,10201,takrissa chetima a,bureau_10201064,voting_lists
154,10201,takrissa chetima b,bureau_10201065,voting_lists
155,10201,tassilim,bureau_10201066,voting_lists
156,10202,ikalan zagarane 1,bureau_10202001,voting_lists
157,10202,ikalan zagarane 2,bureau_10202002,voting_lists
158,10202,chirat,bureau_10202003,voting_lists
159,10202,zikat (jikat),bureau_10202004,voting_lists
160,10202,talaglag,bureau_10202005,voting_lists
161,10202,tarinkit,bureau_10202006,voting_lists
162,10202,azar,bureau_10202007,voting_lists
163,10202,mizene et temalolo,bureau_10202008,voting_lists
164,10202,oufoud,bureau_10202009,voting_lists
165,10202,agatarak,bureau_10202010,voting_lists
166,10202,eris intagba,bureau_10202011,voting_lists
167,10202,anoumakaran 1 (rta),bureau_10202012,voting_lists
168,10202,hanzamata,bureau_10202013,voting_lists
169,10202,tchintintagat 1,bureau_10202014,voting_lists
170,10202,tchintintagat 2  et imouraren,bureau_10202015,voting_lists
171,10202,dannet et alhoria,bureau_10202016,voting_lists
172,10202,techile et innalarenr,bureau_10202017,voting_lists
173,10202,tezirfitik,bureau_10202018,voting_lists
174,10202,fichat,bureau_10202019,voting_lists
175,10202,anounagrouf 1,bureau_10202020,voting_lists
176,10202,anounagrouf 2 (a),bureau_10202021,voting_lists
177,10202,anounagrouf 2 (b),bureau_10202022,voting_lists
178,10202,takarache,bureau_10202023,voting_lists
179,10202,tazewet et tchirawayen et tchigihname,bureau_10202024,voting_lists
180,10202,ziguraw,bureau_10202025,voting_lists
181,10202,afagos,bureau_10202026,voting_lists
182,10202,acheki,bureau_10202027,voting_lists
183,10202,ibizgane et  imbizgane mosquee et  tinde,bureau_10202028,voting_lists
184,10202,ekararan 1,bureau_10202029,voting_lists
185,10202,ekararan 2,bureau_10202030,voting_lists
186,10202,gadosse,bureau_10202031,voting_lists
187,10202,tadent,bureau_10202032,voting_lists
188,10202,taguef-naf,bureau_10202033,voting_lists
189,10202,tchizamen,bureau_10202034,voting_lists
190,10202,sikerat (dibba),bureau_10202035,voting_lists
191,10202,akayasse et  edawde,bureau_10202036,voting_lists
192,10202,tchingouyass,bureau_10202037,voting_lists
193,10202,beital et tassedalt,bureau_10202038,voting_lists
194,10202,tebnit,bureau_10202039,voting_lists
195,10202,temilt,bureau_10202040,voting_lists
196,10202,tanoumaghrout,bureau_10202041,voting_lists
197,10202,anouzagaran,bureau_10202042,voting_lists
198,10202,tabat (tarat),bureau_10202043,voting_lists
199,10202,abalajawad,bureau_10202044,voting_lists
200,10203,gougaram1 issinga,bureau_10203001,voting_lists
201,10203,gougaram2amassaline,bureau_10203002,voting_lists
202,10203,mayatt1,bureau_10203003,voting_lists
203,10203,mayatt2,bureau_10203004,voting_lists
204,10203,aragh1,bureau_10203005,voting_lists
205,10203,aragh2,bureau_10203006,voting_lists
206,10203,erough,bureau_10203007,voting_lists
207,10203,elig tchigherine,bureau_10203008,voting_lists
208,10203,talat,bureau_10203009,voting_lists
209,10203,ani aghiri,bureau_10203010,voting_lists
210,10203,echignaw ani aghir2,bureau_10203011,voting_lists
211,10203,tegounout,bureau_10203012,voting_lists
212,10203,aneker,bureau_10203013,voting_lists
213,10203,awidarere 1 et 2,bureau_10203014,voting_lists
214,10203,zanawey,bureau_10203015,voting_lists
215,10203,aghli wizat,bureau_10203016,voting_lists
216,10203,ouraran,bureau_10203017,voting_lists
217,10203,azatraya farazakat,bureau_10203018,voting_lists
218,10203,tchilhourene barnagh,bureau_10203019,voting_lists
219,10203,kirza,bureau_10203020,voting_lists
220,10203,mazalale,bureau_10203021,voting_lists
221,10203,tchimazale,bureau_10203022,voting_lists
222,10203,ezil,bureau_10203023,voting_lists
223,10203,zorika,bureau_10203024,voting_lists
224,10203,intikikiten,bureau_10203025,voting_lists
225,10203,tchinkawkan,bureau_10203026,voting_lists
226,10203,elag-lag,bureau_10203027,voting_lists
227,10203,anouzagh,bureau_10203028,voting_lists
228,10203,intideynawen,bureau_10203029,voting_lists
229,10203,inglichane,bureau_10203030,voting_lists
230,10203,ezazaw,bureau_10203031,voting_lists
231,10203,takriza,bureau_10203032,voting_lists
232,10301,agueur,bureau_10301001,voting_lists
233,10301,zobaba,bureau_10301002,voting_lists
234,10301,bilma bartchi,bureau_10301003,voting_lists
235,10301,bilma  tchintchie,bureau_10301004,voting_lists
236,10301,bilma lombochi,bureau_10301005,voting_lists
237,10301,bilma/medersa,bureau_10301006,voting_lists
238,10302,achinouma,bureau_10302001,voting_lists
239,10302,aneye,bureau_10302002,voting_lists
240,10302,argui,bureau_10302003,voting_lists
241,10302,bezza,bureau_10302004,voting_lists
242,10302,chimindour 1,bureau_10302005,voting_lists
243,10302,chimindour 2,bureau_10302006,voting_lists
244,10302,dirkou 7,bureau_10302007,voting_lists
245,10302,dirkou 8,bureau_10302008,voting_lists
246,10302,dirkou 9,bureau_10302009,voting_lists
247,10302,dirkou 10,bureau_10302010,voting_lists
248,10302,dirkou 11,bureau_10302011,voting_lists
249,10302,dirkou 12,bureau_10302012,voting_lists
250,10302,dirkou 13,bureau_10302013,voting_lists
251,10302,dirkou 14,bureau_10302014,voting_lists
252,10302,dirkou 15,bureau_10302015,voting_lists
253,10302,emitchouma,bureau_10302016,voting_lists
254,10302,lateye,bureau_10302017,voting_lists
255,10302,tchouweye,bureau_10302018,voting_lists
256,10303,chirfa,bureau_10303001,voting_lists
257,10303,yaba,bureau_10303002,voting_lists
258,10303,siguidine,bureau_10303003,voting_lists
259,10304,fachi,bureau_10304001,voting_lists
260,10304,fachi,bureau_10304002,voting_lists
261,10304,fachi,bureau_10304003,voting_lists
262,10304,fachi,bureau_10304004,voting_lists
263,10304,fachi dudumi,bureau_10304005,voting_lists
264,10401,nord tribune,bureau_10401001,voting_lists
265,10401,toudou,bureau_10401002,voting_lists
266,10401,centre,bureau_10401003,voting_lists
267,10401,afa,bureau_10401004,voting_lists
268,10401,tchinfinitene,bureau_10401005,voting_lists
269,10401,souloufiet,bureau_10401006,voting_lists
270,10401,tarinkite,bureau_10401007,voting_lists
271,10401,etaghass,bureau_10401008,voting_lists
272,10401,ebourkoum,bureau_10401009,voting_lists
273,10401,temighrite,bureau_10401010,voting_lists
274,10401,afis,bureau_10401011,voting_lists
275,10401,tchintouloust 1,bureau_10401012,voting_lists
276,10401,tchintouloust 2,bureau_10401013,voting_lists
277,10401,tchintouloust 3,bureau_10401014,voting_lists
278,10401,obrassane,bureau_10401015,voting_lists
279,10401,taghmert,bureau_10401016,voting_lists
280,10401,awey,bureau_10401017,voting_lists
281,10401,takemoust,bureau_10401018,voting_lists
282,10401,aneker,bureau_10401019,voting_lists
283,10401,inawak,bureau_10401020,voting_lists
284,10401,tazorat,bureau_10401021,voting_lists
285,10401,tefess,bureau_10401022,voting_lists
286,10401,anouwacharan,bureau_10401023,voting_lists
287,10401,sidawat,bureau_10401024,voting_lists
288,10401,ifigua,bureau_10401025,voting_lists
289,10401,bojni,bureau_10401026,voting_lists
290,10401,tchistan,bureau_10401027,voting_lists
291,10401,agalal 1,bureau_10401028,voting_lists
292,10401,agalal 2,bureau_10401029,voting_lists
293,10401,tchiyeran,bureau_10401030,voting_lists
294,10401,teghawghaw,bureau_10401031,voting_lists
295,10401,ecole ziguilaw,bureau_10401032,voting_lists
296,10401,oumarat,bureau_10401033,voting_lists
297,10401,tadeck 1,bureau_10401034,voting_lists
298,10401,tadeck 2,bureau_10401035,voting_lists
299,10401,taghajit,bureau_10401036,voting_lists
300,10401,tarainat,bureau_10401037,voting_lists
301,10401,comite,bureau_10401038,voting_lists
302,10401,site zero 9,bureau_10401039,voting_lists
303,10402,ttimia,bureau_10402001,voting_lists
304,10402,ttimia,bureau_10402002,voting_lists
305,10402,ttimia,bureau_10402003,voting_lists
306,10402,ttimia,bureau_10402004,voting_lists
307,10402,tassawalt nord,bureau_10402005,voting_lists
308,10402,tassawalt sud,bureau_10402006,voting_lists
309,10402,krip krip,bureau_10402007,voting_lists
310,10402,tighat,bureau_10402008,voting_lists
311,10402,abarakan,bureau_10402009,voting_lists
312,10402,anwanissan,bureau_10402010,voting_lists
313,10402,tagalalat,bureau_10402011,voting_lists
314,10402,asligh,bureau_10402012,voting_lists
315,10402,naballow,bureau_10402013,voting_lists
316,10402,ajirou,bureau_10402014,voting_lists
317,10402,anfissag,bureau_10402015,voting_lists
318,10402,edawdane,bureau_10402016,voting_lists
319,10402,tefarawt,bureau_10402017,voting_lists
320,10402,tefarawt,bureau_10402018,voting_lists
321,10402,aboykoss,bureau_10402019,voting_lists
322,10402,ajiwa,bureau_10402020,voting_lists
323,10402,takarkad,bureau_10402021,voting_lists
324,10402,temalewlew,bureau_10402022,voting_lists
