"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"147","10101","zergaw i","RENALOC_147","RENALOC","21","10101","zargaw","bureau_10101022","voting_lists"
"148","10101","zergaw ii","RENALOC_148","RENALOC","21","10101","zargaw","bureau_10101022","voting_lists"
"149","10201","boukoki ii","RENALOC_149","RENALOC","113","10201","boukoki 1 a","bureau_10201024","voting_lists"
"149","10201","boukoki ii","RENALOC_149","RENALOC","123","10201","boukoki 2 a","bureau_10201034","voting_lists"
"149","10201","boukoki ii","RENALOC_149","RENALOC","127","10201","boukoki 2 e","bureau_10201038","voting_lists"
"149","10201","boukoki ii","RENALOC_149","RENALOC","130","10201","boukoki 2 h","bureau_10201041","voting_lists"
"149","10201","boukoki ii","RENALOC_149","RENALOC","131","10201","boukoki 2 i","bureau_10201042","voting_lists"
"150","10201","tchingalene","RENALOC_150","RENALOC","94","10201","tchingalene","bureau_10201005","voting_lists"
"151","10201","cite somair areva","RENALOC_151","RENALOC","117","10201","cite somair areva a","bureau_10201028","voting_lists"
"151","10201","cite somair areva","RENALOC_151","RENALOC","118","10201","cite somair areva b","bureau_10201029","voting_lists"
"151","10201","cite somair areva","RENALOC_151","RENALOC","119","10201","cite somair areva c","bureau_10201030","voting_lists"
"151","10201","cite somair areva","RENALOC_151","RENALOC","120","10201","cite somair areva d","bureau_10201031","voting_lists"
"151","10201","cite somair areva","RENALOC_151","RENALOC","121","10201","cite somair areva e","bureau_10201032","voting_lists"
"151","10201","cite somair areva","RENALOC_151","RENALOC","122","10201","cite somair areva f","bureau_10201033","voting_lists"
"152","10201","tamesna (quartier adminnistratif)","RENALOC_152","RENALOC","90","10201","tamesna a","bureau_10201001","voting_lists"
"152","10201","tamesna (quartier adminnistratif)","RENALOC_152","RENALOC","91","10201","tamesna b","bureau_10201002","voting_lists"
"152","10201","tamesna (quartier adminnistratif)","RENALOC_152","RENALOC","92","10201","tamesna c","bureau_10201003","voting_lists"
"152","10201","tamesna (quartier adminnistratif)","RENALOC_152","RENALOC","93","10201","tamesna d","bureau_10201004","voting_lists"
