"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"150","10601","sabon gari","RENACOM_150","RENACOM","562","10601","sabon gari","bureau_10601094","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","563","10601","sabon gari","bureau_10601095","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","564","10601","sabon gari","bureau_10601096","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","565","10601","sabon gari","bureau_10601097","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","566","10601","sabon gari","bureau_10601098","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","567","10601","sabon gari","bureau_10601099","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","568","10601","sabon gari","bureau_10601100","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","569","10601","sabon gari","bureau_10601101","voting_lists"
"151","10601","oumourdan magass","RENACOM_151","RENACOM","529","10601","oumour dan magass","bureau_10601061","voting_lists"
"151","10601","oumourdan magass","RENACOM_151","RENACOM","530","10601","oumour dan magass","bureau_10601062","voting_lists"
"151","10601","oumourdan magass","RENACOM_151","RENACOM","531","10601","oumour dan magass","bureau_10601063","voting_lists"
"151","10601","oumourdan magass","RENACOM_151","RENACOM","532","10601","oumour dan magass","bureau_10601064","voting_lists"
"152","10601","obitara","RENACOM_152","RENACOM","490","10601","obitara","bureau_10601022","voting_lists"
"152","10601","obitara","RENACOM_152","RENACOM","491","10601","obitara","bureau_10601023","voting_lists"
"152","10601","obitara","RENACOM_152","RENACOM","492","10601","obitara","bureau_10601024","voting_lists"
"152","10601","obitara","RENACOM_152","RENACOM","493","10601","obitara","bureau_10601025","voting_lists"
"152","10601","obitara","RENACOM_152","RENACOM","494","10601","obitara","bureau_10601026","voting_lists"
"152","10601","obitara","RENACOM_152","RENACOM","495","10601","obitara","bureau_10601027","voting_lists"
"152","10601","obitara","RENACOM_152","RENACOM","496","10601","obitara","bureau_10601028","voting_lists"
"152","10601","obitara","RENACOM_152","RENACOM","573","10601","obitara","bureau_10601105","voting_lists"
"153","10601","toudou","RENACOM_153","RENACOM","505","10601","toudou","bureau_10601037","voting_lists"
"153","10601","toudou","RENACOM_153","RENACOM","506","10601","toudou","bureau_10601038","voting_lists"
"153","10601","toudou","RENACOM_153","RENACOM","507","10601","toudou","bureau_10601039","voting_lists"
"153","10601","toudou","RENACOM_153","RENACOM","508","10601","toudou","bureau_10601040","voting_lists"
"153","10601","toudou","RENACOM_153","RENACOM","509","10601","toudou","bureau_10601041","voting_lists"
"153","10601","toudou","RENACOM_153","RENACOM","574","10601","toudou","bureau_10601106","voting_lists"
"154","10601","katanga","RENACOM_154","RENACOM","502","10601","katanga","bureau_10601034","voting_lists"
"154","10601","katanga","RENACOM_154","RENACOM","503","10601","katanga","bureau_10601035","voting_lists"
"156","10601","amareoutt","RENACOM_156","RENACOM","484","10601","amareoutt","bureau_10601016","voting_lists"
"156","10601","amareoutt","RENACOM_156","RENACOM","575","10601","amarewatt","bureau_10601107","voting_lists"
"163","10601","angoual bayi","RENACOM_163","RENACOM","534","10601","angoual bahi","bureau_10601066","voting_lists"
"169","10601","dare(qt)","RENACOM_169","RENACOM","540","10601","dari","bureau_10601072","voting_lists"
"170","10601","ourey( qt)","RENACOM_170","RENACOM","541","10601","ourey","bureau_10601073","voting_lists"
"171","10601","tassak n'talam","RENACOM_171","RENACOM","570","10601","tassakintalam","bureau_10601102","voting_lists"
"172","10601","tajajaret (va)","RENACOM_172","RENACOM","546","10601","tajajarat","bureau_10601078","voting_lists"
"179","10602","inziriadan","RENACOM_179","RENACOM","631","10602","inziryaden","bureau_10602049","voting_lists"
"180","10602","elmeki","RENACOM_180","RENACOM","606","10602","elmeki","bureau_10602024","voting_lists"
"183","10602","assanaga","RENACOM_183","RENACOM","584","10602","assanaga","bureau_10602002","voting_lists"
"188","10602","inwazeidi","RENACOM_188","RENACOM","593","10602","inwazeidi","bureau_10602011","voting_lists"
"190","10602","tantoun maidara (va)","RENACOM_190","RENACOM","597","10602","tanout n'haidara","bureau_10602015","voting_lists"
"192","10602","intata","RENACOM_192","RENACOM","594","10602","intatate","bureau_10602012","voting_lists"
"194","10602","guissat","RENACOM_194","RENACOM","609","10602","guissat","bureau_10602027","voting_lists"
"195","10602","dabaga i","RENACOM_195","RENACOM","598","10602","dabaga 1","bureau_10602016","voting_lists"
"195","10602","dabaga i","RENACOM_195","RENACOM","599","10602","dabaga 2","bureau_10602017","voting_lists"
"195","10602","dabaga i","RENACOM_195","RENACOM","600","10602","dabaga 3","bureau_10602018","voting_lists"
"197","10602","dabaga ii","RENACOM_197","RENACOM","598","10602","dabaga 1","bureau_10602016","voting_lists"
"197","10602","dabaga ii","RENACOM_197","RENACOM","599","10602","dabaga 2","bureau_10602017","voting_lists"
"197","10602","dabaga ii","RENACOM_197","RENACOM","600","10602","dabaga 3","bureau_10602018","voting_lists"
"198","10602","takaya","RENACOM_198","RENACOM","601","10602","takayya","bureau_10602019","voting_lists"
"200","10602","aouderass","RENACOM_200","RENACOM","617","10602","aoudares","bureau_10602035","voting_lists"
"201","10602","azangallan","RENACOM_201","RENACOM","634","10602","azangalan","bureau_10602052","voting_lists"
"219","10602","amatassa","RENACOM_219","RENACOM","618","10602","amatassa","bureau_10602036","voting_lists"
"228","10602","guirmat (va)","RENACOM_228","RENACOM","628","10602","guirmat","bureau_10602046","voting_lists"
"230","10602","toumga","RENACOM_230","RENACOM","583","10602","toumga","bureau_10602001","voting_lists"
"239","10602","eres n'goua (pe)","RENACOM_239","RENACOM","611","10602","eres n'gour","bureau_10602029","voting_lists"
"241","10602","tchissek (pe)","RENACOM_241","RENACOM","608","10602","tchissik","bureau_10602026","voting_lists"
